Time,Last Price,Net Change,Volume,OI,Buy Quantity,Sell Quantity,Buy Sell Diff,Total Bid Qty,Total Offer Qty
2025-11-04 20:55:54,119787,0,61334.0,39020.0,1674,2855,-1181,13,8
2025-11-04 20:55:49,119765,0,61321.0,39020.0,1652,2865,-1213,9,6
2025-11-04 20:55:44,119775,0,61319.0,39020.0,1657,2854,-1197,11,9
2025-11-04 20:55:39,119770,0,61317.0,39020.0,1654,2856,-1202,16,8
2025-11-04 20:55:34,119770,0,61312.0,39020.0,1653,2858,-1205,9,11
2025-11-04 20:55:28,119785,0,61311.0,39020.0,1637,2867,-1230,10,5
2025-11-04 20:55:23,119787,0,61305.0,39020.0,1645,2859,-1214,10,7
2025-11-04 20:55:18,119780,0,61303.0,39020.0,1651,2850,-1199,10,5
2025-11-04 20:55:13,119750,0,61300.0,39020.0,1671,2840,-1169,12,6
2025-11-04 20:55:08,119733,0,61296.0,39021.0,1655,2860,-1205,5,6
2025-11-04 20:55:03,119724,0,61294.0,39021.0,1639,2857,-1218,12,6
2025-11-04 20:54:58,119751,0,61290.0,39021.0,1640,2868,-1228,10,6
2025-11-04 20:54:52,119751,0,61290.0,39021.0,1662,2857,-1195,11,5
2025-11-04 20:54:47,119732,0,61289.0,39014.0,1652,2847,-1195,11,6
2025-11-04 20:54:42,119727,0,61288.0,39014.0,1647,2859,-1212,12,7
2025-11-04 20:54:37,119723,0,61276.0,39014.0,1649,2858,-1209,9,8
2025-11-04 20:54:32,119730,0,61273.0,39014.0,1650,2866,-1216,5,7
2025-11-04 20:54:26,119730,0,61265.0,39014.0,1630,2866,-1236,5,7
2025-11-04 20:54:21,119748,0,61258.0,39010.0,1633,2855,-1222,7,11
2025-11-04 20:54:16,119760,0,61252.0,39010.0,1650,2836,-1186,5,5
2025-11-04 20:54:11,119769,0,61245.0,39010.0,1672,2817,-1145,10,12
2025-11-04 20:54:05,119730,0,61228.0,39010.0,1659,2841,-1182,9,13
2025-11-04 20:54:00,119729,0,61215.0,39010.0,1641,2836,-1195,9,12
2025-11-04 20:53:55,119710,0,61212.0,39010.0,1640,2853,-1213,10,14
2025-11-04 20:53:50,119712,0,61208.0,39010.0,1632,2859,-1227,8,6
2025-11-04 20:53:44,119730,0,61206.0,39010.0,1645,2859,-1214,9,5
2025-11-04 20:53:39,119700,0,61199.0,39010.0,1639,2845,-1206,9,11
2025-11-04 20:53:33,119660,0,61191.0,39011.0,1648,2846,-1198,8,6
2025-11-04 20:53:28,119660,0,61189.0,39011.0,1637,2854,-1217,6,11
2025-11-04 20:53:23,119663,0,61188.0,39011.0,1638,2856,-1218,6,15
2025-11-04 20:53:18,119675,0,61185.0,39011.0,1641,2853,-1212,9,11
2025-11-04 20:53:12,119675,0,61185.0,38984.0,1638,2868,-1230,8,12
2025-11-04 20:53:07,119670,0,61178.0,38984.0,1634,2869,-1235,7,10
2025-11-04 20:53:02,119686,0,61152.0,38984.0,1631,2861,-1230,17,14
2025-11-04 20:52:57,119691,0,61150.0,38984.0,1627,2856,-1229,11,10
2025-11-04 20:52:51,119699,0,61134.0,38984.0,1630,2842,-1212,6,5
